Time (s),Channel 1 (V)
-0.02364786361674579,-1.916501064528507
-0.02363536361674579,-1.916156422114717
-0.02362286361674579,-2.139140063837071
-0.02361036361674579,-2.205656049698608
-0.02359786361674579,-2.205311407284817
-0.02358536361674579,-2.204966764871027
-0.02357286361674579,-2.204277480043446
-0.02356036361674579,-2.203588195215866
-0.02354786361674579,-2.203243552802075
-0.02353536361674579,-2.203243552802075
-0.02352286361674579,-2.202554267974495
-0.02351036361674579,-2.202554267974495
-0.02349786361674579,-2.202209625560704
-0.02348536361674579,-2.201520340733123
-0.02347286361674579,-2.201520340733123
-0.02346036361674579,-2.201175698319333
-0.02344786361674579,-2.200486413491753
-0.02343536361674579,-2.200141771077962
-0.02342286361674579,-2.200141771077962
-0.02341036361674579,-2.200141771077962
-0.02339786361674579,-2.199797128664172
-0.02338536361674579,-2.199797128664172
-0.02337286361674579,-2.199107843836591
-0.02336036361674579,-2.19841855900901
-0.02334786361674579,-2.19841855900901
-0.02333536361674579,-2.19772927418143
-0.02332286361674579,-2.19772927418143
-0.02331036361674579,-2.19738463176764
-0.02329786361674579,-2.197039989353849
-0.02328536361674579,-2.197039989353849
-0.02327286361674579,-2.196695346940059
-0.02326036361674579,-2.196350704526268
-0.02324786361674579,-2.196006062112478
-0.02323536361674579,-2.195661419698688
-0.02322286361674579,-2.195316777284897
-0.02321036361674579,-2.194972134871107
-0.02319786361674579,-2.194627492457317
-0.02318536361674579,-2.194627492457317
-0.02317286361674579,-2.194627492457317
-0.02316036361674579,-2.193938207629736
-0.02314786361674579,-2.193593565215946
-0.02313536361674579,-2.193593565215946
-0.02312286361674579,-2.193248922802155
-0.02311036361674579,-2.192904280388365
-0.02309786361674579,-2.192559637974575
-0.02308536361674579,-2.192559637974575
-0.02307286361674579,-2.191870353146994
-0.02306036361674579,-2.191870353146994
-0.02304786361674579,-2.191525710733203
-0.02303536361674579,-2.191181068319413
-0.02302286361674579,-2.191181068319413
-0.02301036361674579,-2.190836425905623
-0.02299786361674579,-2.190147141078042
-0.02298536361674579,-2.190147141078042
-0.02297286361674579,-2.189457856250462
-0.02296036361674579,-2.189113213836671
-0.02294786361674579,-2.003006310389885
-0.02293536361674579,-1.8989243014252
-0.02292286361674579,-1.8989243014252
-0.02291036361674579,-1.898579659011409
-0.02289786361674579,-1.898579659011409
-0.02288536361674579,-1.898579659011409
-0.02287286361674579,-1.898235016597619
-0.02286036361674579,-1.897890374183829
-0.02284786361674579,-1.897890374183829
-0.02283536361674579,-1.897545731770038
-0.02282286361674579,-1.897545731770038
-0.02281036361674579,-1.897201089356248
-0.02279786361674579,-1.896856446942458
-0.02278536361674579,-1.896856446942458
-0.02277286361674579,-1.896511804528668
-0.02276036361674579,-1.896167162114877
-0.02274786361674579,-1.895822519701087
-0.02273536361674579,-1.895477877287296
-0.02272286361674579,-1.894443950045925
-0.02271036361674579,-1.893754665218345
-0.02269786361674579,-1.893754665218345
-0.02268536361674579,-1.894099307632135
-0.02267286361674579,-1.894443950045925
-0.02266036361674579,-1.893754665218345
-0.02264786361674579,-1.894099307632135
-0.02263536361674579,-1.894099307632135
-0.02262286361674579,-1.893410022804554
-0.02261036361674579,-1.893410022804554
-0.02259786361674579,-1.893065380390764
-0.02258536361674579,-1.892720737976974
-0.02257286361674579,-1.892376095563183
-0.02256036361674579,-1.892376095563183
-0.02254786361674579,-1.892720737976974
-0.02253536361674579,-1.891686810735603
-0.02252286361674579,-1.891686810735603
-0.02251036361674579,-1.891342168321812
-0.02249786361674579,-1.695929919702686
-0.02248536361674579,-1.597017546944857
-0.02247286361674579,-1.596672904531067
-0.02246036361674579,-1.596672904531067
-0.02244786361674579,-1.596328262117276
-0.02243536361674579,-1.595983619703486
-0.02242286361674579,-1.595638977289696
-0.02241036361674579,-1.595983619703486
-0.02239786361674579,-1.595638977289696
-0.02238536361674579,-1.595294334875905
-0.02237286361674579,-1.595294334875905
-0.02236036361674579,-1.594605050048325
-0.02234786361674579,-1.594605050048325
-0.02233536361674579,-1.594260407634534
-0.02232286361674579,-1.594260407634534
-0.02231036361674579,-1.594260407634534
-0.02229786361674579,-1.593571122806954
-0.02228536361674579,-1.593226480393163
-0.02227286361674579,-1.319580403843629
-0.02226036361674579,-1.298212574188627
-0.02224786361674579,-1.298212574188627
-0.02223536361674579,-1.298212574188627
-0.02222286361674579,-1.297867931774837
-0.02221036361674579,-1.297523289361047
-0.02219786361674579,-1.297867931774837
-0.02218536361674579,-1.297523289361047
-0.02217286361674579,-1.297523289361047
-0.02216036361674579,-1.297178646947256
-0.02214786361674579,-1.296834004533466
-0.02213536361674579,-1.296834004533466
-0.02212286361674579,-1.296834004533466
-0.02211036361674579,-1.296834004533466
-0.02209786361674579,-1.296489362119676
-0.02208536361674579,-1.296144719705885
-0.02207286361674579,-1.296144719705885
-0.02206036361674579,-1.295800077292095
-0.02204786361674579,-0.9177273493640858
-0.02203536361674579,-0.7099079738485073
-0.02202286361674579,-0.7105972586760881
-0.02201036361674579,-0.7105972586760881
-0.02199786361674579,-0.7105972586760881
-0.02198536361674579,-0.7102526162622977
-0.02197286361674579,-0.7105972586760881
-0.02196036361674579,-0.7102526162622977
-0.02194786361674579,-0.7102526162622977
-0.02193536361674579,-0.7102526162622977
-0.02192286361674579,-0.7099079738485073
-0.02191036361674579,-0.7102526162622977
-0.02189786361674579,-0.7099079738485073
-0.02188536361674579,-0.7095633314347171
-0.02187286361674579,-0.7099079738485073
-0.02186036361674579,-0.7095633314347171
-0.02184786361674579,-0.7095633314347171
-0.02183536361674579,-0.7092186890209267
-0.02182286361674579,-0.5279367793672048
-0.02181036361674579,-0.4145494252301811
-0.02179786361674579,-0.4152387100577618
-0.02178536361674579,-0.4152387100577618
-0.02177286361674579,-0.4152387100577618
-0.02176036361674579,-0.4155833524715521
-0.02174786361674579,-0.4148940676439715
-0.02173536361674579,-0.4155833524715521
-0.02172286361674579,-0.4169619221267135
-0.02171036361674579,-0.4176512069542942
-0.02169786361674579,-0.4173065645405039
-0.02168536361674579,-0.4166172797129232
-0.02167286361674579,-0.4162726372991328
-0.02166036361674579,-0.4159279948853425
-0.02164786361674579,-0.4159279948853425
-0.02163536361674579,-0.4152387100577618
-0.02162286361674579,-0.4152387100577618
-0.02161036361674579,-0.4152387100577618
-0.02159786361674579,-0.4069672921267935
-0.02158536361674579,0.1737551751099389
-0.02157286361674579,0.1734105326961486
-0.02156036361674579,0.1730658902823582
-0.02154786361674579,0.1730658902823582
-0.02153536361674579,0.1730658902823582
-0.02152286361674579,0.1727212478685679
-0.02151036361674579,0.1730658902823582
-0.02149786361674579,0.1727212478685679
-0.02148536361674579,0.1734105326961486
-0.02147286361674579,0.1730658902823582
-0.02146036361674579,0.1727212478685679
-0.02144786361674579,0.1730658902823582
-0.02143536361674579,0.1727212478685679
-0.02142286361674579,0.1727212478685679
-0.02141036361674579,0.1727212478685679
-0.02139786361674579,0.1723766054547776
-0.02138536361674579,0.1727212478685679
-0.02137286361674579,0.4429209002801989
-0.02136036361674579,0.4673905116593134
-0.02134786361674579,0.4670458692455231
-0.02133536361674579,0.4667012268317328
-0.02132286361674579,0.4667012268317328
-0.02131036361674579,0.4660119420041521
-0.02129786361674579,0.4663565844179424
-0.02128536361674579,0.4653226571765714
-0.02127286361674579,0.4656672995903617
-0.02126036361674579,0.4653226571765714
-0.02124786361674579,0.4653226571765714
-0.02123536361674579,0.4653226571765714
-0.02122286361674579,0.4649780147627811
-0.02121036361674579,0.4649780147627811
-0.02119786361674579,0.4653226571765714
-0.02118536361674579,0.4649780147627811
-0.02117286361674579,0.4649780147627811
-0.02116036361674579,0.4646333723489907
-0.02114786361674579,0.6917527230368284
-0.02113536361674579,0.7586133513121555
-0.02112286361674579,0.7586133513121555
-0.02111036361674579,0.7582687088983652
-0.02109786361674579,0.7579240664845748
-0.02108536361674579,0.7579240664845748
-0.02107286361674579,0.7575794240707845
-0.02106036361674579,0.7579240664845748
-0.02104786361674579,0.7575794240707845
-0.02103536361674579,0.7575794240707845
-0.02102286361674579,0.7575794240707845
-0.02101036361674579,0.7572347816569941
-0.02099786361674579,0.7572347816569941
-0.02098536361674579,0.7568901392432038
-0.02097286361674579,0.7572347816569941
-0.02096036361674579,0.7565454968294134
-0.02094786361674579,0.7565454968294134
-0.02093536361674579,0.7565454968294134
-0.02092286361674579,1.037084421654755
-0.02091036361674579,1.34140367303163
-0.02089786361674579,1.34071438820405
-0.02088536361674579,1.340369745790259
-0.02087286361674579,1.340369745790259
-0.02086036361674579,1.340025103376469
-0.02084786361674579,1.339680460962678
-0.02083536361674579,1.338991176135098
-0.02082286361674579,1.339680460962678
-0.02081036361674579,1.339680460962678
-0.02079786361674579,1.338991176135098
-0.02078536361674579,1.338646533721307
-0.02077286361674579,1.338301891307517
-0.02076036361674579,1.338646533721307
-0.02074786361674579,1.338301891307517
-0.02073536361674579,1.337267964066146
-0.02072286361674579,1.333476897514452
-0.02071036361674579,1.33106440061792
-0.02069786361674579,1.581619435443501
-0.02068536361674579,1.627456876477617
-0.02067286361674579,1.628835446132778
-0.02066036361674579,1.628490803718988
-0.02064786361674579,1.628835446132778
-0.02063536361674579,1.629524730960359
-0.02062286361674579,1.629524730960359
-0.02061036361674579,1.629180088546569
-0.02059786361674579,1.629180088546569
-0.02058536361674579,1.629180088546569
-0.02057286361674579,1.628835446132778
-0.02056036361674579,1.629180088546569
-0.02054786361674579,1.628835446132778
-0.02053536361674579,1.628146161305198
-0.02052286361674579,1.628490803718988
-0.02051036361674579,1.628146161305198
-0.02049786361674579,1.627801518891407
-0.02048536361674579,1.627801518891407
-0.02047286361674579,1.836654821648357
-0.02046036361674579,1.920058285785621
-0.02044786361674579,1.91936900095804
-0.02043536361674579,1.91936900095804
-0.02042286361674579,1.918679716130459
-0.02041036361674579,1.918335073716669
-0.02039786361674579,1.918335073716669
-0.02038536361674579,1.917990431302878
-0.02037286361674579,1.917990431302878
-0.02036036361674579,1.917301146475298
-0.02034786361674579,1.917301146475298
-0.02033536361674579,1.916611861647717
-0.02032286361674579,1.916611861647717
-0.02031036361674579,1.916267219233927
-0.02029786361674579,1.915922576820136
-0.02028536361674579,1.915577934406346
-0.02027286361674579,1.915233291992556
-0.02026036361674579,1.914888649578765
-0.02024786361674579,1.914199364751185
-0.02023536361674579,1.914199364751185
-0.02022286361674579,1.914199364751185
-0.02021036361674579,1.913510079923604
-0.02019786361674579,1.913510079923604
-0.02018536361674579,1.913510079923604
-0.02017286361674579,1.912820795096023
-0.02016036361674579,1.912476152682233
-0.02014786361674579,1.912131510268443
-0.02013536361674579,1.911786867854652
-0.02012286361674579,1.911442225440862
-0.02011036361674579,1.911442225440862
-0.02009786361674579,1.911097583027072
-0.02008536361674579,1.910752940613281
-0.02007286361674579,1.910408298199491
-0.02006036361674579,1.9100636557857
-0.02004786361674579,1.910408298199491
-0.02003536361674579,1.90971901337191
-0.02002286361674579,2.201286495438542
-0.02001036361674579,2.204043634748865
-0.01999786361674579,2.204043634748865
-0.01998536361674579,2.203354349921284
-0.01997286361674579,2.203698992335075
-0.01996036361674579,2.203009707507494
-0.01994786361674579,2.203009707507494
-0.01993536361674579,2.202665065093704
-0.01992286361674579,2.202320422679914
-0.01991036361674579,2.202320422679914
-0.01989786361674579,2.201975780266123
-0.01988536361674579,2.201631137852333
-0.01987286361674579,2.201975780266123
-0.01986036361674579,2.201286495438542
-0.01984786361674579,2.200597210610962
-0.01983536361674579,2.200597210610962
-0.01982286361674579,2.200252568197171
-0.01981036361674579,2.200252568197171
-0.01979786361674579,2.199563283369591
-0.01978536361674579,2.199563283369591
-0.01977286361674579,2.1992186409558
-0.01976036361674579,2.19887399854201
-0.01974786361674579,2.1992186409558
-0.01973536361674579,2.197495428886849
-0.01972286361674579,2.192325792679994
-0.01971036361674579,2.189568653369671
-0.01969786361674579,2.189913295783461
-0.01968536361674579,2.192325792679994
-0.01967286361674579,2.194049004748945
-0.01966036361674579,2.193704362335155
-0.01964786361674579,2.194049004748945
-0.01963536361674579,2.194738289576526
-0.01962286361674579,2.194393647162735
-0.01961036361674579,2.194393647162735
-0.01959786361674579,2.194393647162735
-0.01958536361674579,2.194049004748945
-0.01957286361674579,2.193359719921364
-0.01956036361674579,2.193704362335155
-0.01954786361674579,2.193359719921364
-0.01953536361674579,2.192670435093784
-0.01952286361674579,2.193015077507574
-0.01951036361674579,2.192670435093784
-0.01949786361674579,2.192670435093784
-0.01948536361674579,2.192325792679994
-0.01947286361674579,2.191981150266203
-0.01946036361674579,2.191981150266203
-0.01944786361674579,2.191291865438622
-0.01943536361674579,2.191636507852412
-0.01942286361674579,2.190947223024832
-0.01941036361674579,2.190602580611042
-0.01939786361674579,2.189913295783461
-0.01938536361674579,2.189913295783461
-0.01937286361674579,2.189568653369671
-0.01936036361674579,2.18922401095588
-0.01934786361674579,1.925572564406266
-0.01933536361674579,1.893520819923764
-0.01932286361674579,1.893176177509974
-0.01931036361674579,1.893176177509974
-0.01929786361674579,1.892831535096183
-0.01928536361674579,1.892831535096183
-0.01927286361674579,1.892486892682393
-0.01926036361674579,1.892142250268602
-0.01924786361674579,1.891797607854812
-0.01923536361674579,1.891108323027231
-0.01922286361674579,1.891452965441022
-0.01921036361674579,1.890763680613441
-0.01919786361674579,1.890763680613441
-0.01918536361674579,1.890419038199651
-0.01917286361674579,1.89007439578586
-0.01916036361674579,1.88972975337207
